 pastel woad flowers|001r||p001r_1
 mine|100r|Gold color|p100r_1
 verdet|100r|Gold color|p100r_1
 orpiment|100r|Gold color|p100r_1
 gold|100r|Gold color|p100r_1
 Gemstones|100r|Gemstones|p100r_3
 thick glass|100r|Gemstones|p100r_3
 mastic|100r|Gemstones|p100r_3
 wood|100r|Gemstones|p100r_3
 glass|100r|Gemstones|p100r_3
 glass|100r||p100r_6
 glass|100r||p100r_6
 saltpeter|100r|Vitrified saltpeter|p100r_4
 pebbles|100r|Vitrified saltpeter|p100r_4
 glass|100r|Vitrified saltpeter|p100r_4
 white calcined pebbles|100r|Vitrified saltpeter|p100r_4
 large panes of glass|100r|Vitrified saltpeter|p100r_4
 glass|100r|Vitrified saltpeter|p100r_4
 calcined saltpeter|100r|Windows through which the sun will not pass|p100r_5
 saltpeter|100r|Windows through which the sun will not pass|p100r_5
 alkali salt|100r|Windows through which the sun will not pass|p100r_5
 Gemstones|100v|Gemstones|p100v_1
 white pebbles that are found by the rivers & among the sand bank, & paths, which are somewhat transparent|100v|Gemstones|p100v_1
 water|100v|Gemstones|p100v_1
 vinegar|100v|Gemstones|p100v_1
 copper|100v|Gemstones|p100v_1
 copper|100v|Gemstones|p100v_1
 copper|100v|Gemstones|p100v_1
 pebbles|100v|Gemstones|p100v_1
 good minium, not adulterated by brick|100v|Gemstones|p100v_1
 bronze|100v|Gemstones|p100v_1
 sel de verre|100v|Gemstones|p100v_1
 sandever|100v|Gemstones|p100v_1
 alkali salt|100v|Gemstones|p100v_1
 sand|100v|Gemstones|p100v_1
 bronze|100v|Gemstones|p100v_1
 copper|100v|Gemstones|p100v_1
 salt|100v|Gemstones|p100v_1
 pebbles|100v|Gemstones|p100v_1
 minium|100v|Gemstones|p100v_1
 salts|100v|Gemstones|p100v_1
 minium|100v|Gemstones|p100v_1
 ruby|100v|For ruby take some gold leaf|p100v_2
 gold leaf|100v|For ruby take some gold leaf|p100v_2
 rubies|100v|For ruby take some gold leaf|p100v_2
 emeralds|100v|For ruby take some gold leaf|p100v_2
 white calcined pebbles|100v|For ruby take some gold leaf|p100v_2
 glass|100v|For ruby take some gold leaf|p100v_2
 gold leaf|100v|For ruby take some gold leaf|p100v_2
 gild|100v|For ruby take some gold leaf|p100v_2
 gold|100v|For ruby take some gold leaf|p100v_2
 pebbles|100v|For ruby take some gold leaf|p100v_2
 saltpeter|100v|For ruby take some gold leaf|p100v_2
 gold|100v|For ruby take some gold leaf|p100v_2
 minium|101r||p100v_2
 vitrified minium|101r||p100v_2
 gold|101r||p100v_2
 gold|101r||p100v_2
 antimony|101r||p100v_2
 Topaz|101r|Topaz|p101r_1
 gemstones|101r|Topaz|p101r_1
 calcined pebbles|101r|Topaz|p101r_1
 minium|101r|Topaz|p101r_1
 copper|101r|Topaz|p101r_1
 emerald|101r|Topaz|p101r_1
 iron|101r|Topaz|p101r_1
 topaz|101r|Topaz|p101r_1
 amber|101r|Topaz|p101r_1
 emerald|101r|Topaz|p101r_1
 topaz|101r|Topaz|p101r_1
 ruby|101r|Topaz|p101r_1
 gold leaf|101r|Topaz|p101r_1
 pumice stone|101r|Topaz|p101r_1
 firestone|101r|Topaz|p101r_1
 ruby|101r|Topaz|p101r_1
 enamels|101r|Topaz|p101r_1
 pebbles|101r|Topaz|p101r_1
 colored glass|101r|Topaz|p101r_1
 enamels|101r|Topaz|p101r_1
 iron|101r|Topaz|p101r_1
 Slightly burnt tartar|101r|Topaz|p101r_1
 arene|101r|Topaz|p101r_1
 Salt|101r|Salt for melting|p101r_2
 saltpeter|101r|Salt for melting|p101r_2
 common salt|101r|Salt for melting|p101r_2
 melted copper|101r|Salt for melting|p101r_2
 common salt|101r|Salt for melting|p101r_2
 marble|101r|Salt for melting|p101r_2
 saltpeter|101r|Salt for melting|p101r_2
 metal|101r|Salt for melting|p101r_2
 marble|101v||p101r_2
 alabaster|101v||p101r_2
 marble|101v||p101r_2
 Jacinth|101v|Jacinth|p101v_1
 ruby|101v|Jacinth|p101v_1
 gold|101v|Jacinth|p101v_1
 ruby|101v|Jacinth|p101v_1
 rubified antimony|101v|Jacinth|p101v_1
 jacinth|101v|Jacinth|p101v_1
 Topaz|101v|Topaz|p101v_2
 pumice stone calcined & pulverized & tr with three parts of minium|101v|Topaz|p101v_2
 minium|101v|Topaz|p101v_2
 stone pulverized|101v|Topaz|p101v_2
 steel|101v|Topaz|p101v_2
 pumice|101v|Topaz|p101v_2
 glass|101v|Topaz|p101v_2
 minium|101v|Topaz|p101v_2
 fire stone|101v|Topaz|p101v_2
 Varnish|101v|Varnish|p101v_3
 minium|101v|Varnish|p101v_3
 linseed oil|101v|Varnish|p101v_3
 varnish|101v|Varnish|p101v_3
 very pulverized yellow amber|101v|Varnish|p101v_3
 Gum ammoniac|101v|Gum ammoniac|p101v_4
 vinegar|101v|Gum ammoniac|p101v_4
 medicinal gums|101v|Gum ammoniac|p101v_4
 vinegar|101v|Gum ammoniac|p101v_4
 ☿|102r|Provisions for the work of Colchis|p102r_1
 ☿|102r|Provisions for the work of Colchis|p102r_1
 coarse salt|102r|Provisions for the work of Colchis|p102r_1
 lead|102r|Provisions for the work of Colchis|p102r_1
 unleaded|102r|Provisions for the work of Colchis|p102r_1
 vinegar|102r|Provisions for the work of Colchis|p102r_1
 good vinegar|102r|Provisions for the work of Colchis|p102r_1
 cotton|102r|Provisions for the work of Colchis|p102r_1
 stone|102r|For the furnace|p102r_2
 earthenware|102r|For the furnace|p102r_2
 fer blanc|102r|For the furnace|p102r_2
 smoke|102r|For the furnace|p102r_2
 Rapeseed oil|102r|For the furnace|p102r_2
 Ciment royal|102r|Ciment royalc_102r_02|p102r_3
 vitriol|102r|Ciment royalc_102r_02|p102r_3
 saltpeter|102r|Ciment royalc_102r_02|p102r_3
 rock alum|102r|Ciment royalc_102r_02|p102r_3
 Glass|102r|Glass vessels|p102r_4
 glass|102r|Glass vessels|p102r_4
 crystal|102v|Painting on crystal or glass|p102v_1
 glass|102v|Painting on crystal or glass|p102v_1
 oil|102v|Painting on crystal or glass|p102v_1
 azur d’Acre|102v|Painting on crystal or glass|p102v_1
 lake for a quickly-done red|102v|Painting on crystal or glass|p102v_1
 dragon's blood|102v|Painting on crystal or glass|p102v_1
 foil backing for topaz, or one of gold or silver|102v|Painting on crystal or glass|p102v_1
 topaz|102v|Painting on crystal or glass|p102v_1
 gold|102v|Painting on crystal or glass|p102v_1
 silver|102v|Painting on crystal or glass|p102v_1
 anthos|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 rosemary|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 oil|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 first substance of wine|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 wine|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 water|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 white wine|102v|Infusion of anthos or rosemaryc_102v_05|p102v_2
 Tin|102v|Cast|p102v_3
 tin|102v|Cast|p102v_3
 solder|102v|Cast|p102v_3
 linseed oil|103r|Against burns, excellent|p103r_1
 newest wax|103r|Against burns, excellent|p103r_1
 new wooden|103r|Against burns, excellent|p103r_1
 holy water|103r|Against burns, excellent|p103r_1
 first water|103r|Against burns, excellent|p103r_1
 new water|103r|Against burns, excellent|p103r_1
 white ointment|103r|Against burns, excellent|p103r_1
 water|103r|Against burns, excellent|p103r_1
 wine|103r|Against burns, excellent|p103r_1
 ointment|103r|Against burns, excellent|p103r_1
 ivy leaves|103r|Against burns, excellent|p103r_1
 pitch|103r|Against dogs’ mange.|p103r_2
 water|103r|Against dogs’ mange.|p103r_2
 water|103r|Against dogs’ mange.|p103r_2
 water of sublimate|103r|Against dogs’ mange.|p103r_2
 chicken gut|103v|Enema|p103v_1
 Tin|103v|Cast|p103v_2
 solder|103v|Cast|p103v_2
 taffeta|103v|Cast|p103v_2
 fine sand|103v|Cast|p103v_2
 vinegar|103v|For making colors run|p103v_3
 bile|103v|For making colors run|p103v_3
 glass|103v|For making colors run|p103v_3
 salt|103v|For making colors run|p103v_3
 Earwax|103v|Earwax|p103v_4
 foam of urine|103v|Earwax|p103v_4
 foam|103v|Earwax|p103v_4
 Enamels|103v|Enamels|p103v_5
 crystal|103v|Enamels|p103v_5
 glass|103v|Enamels|p103v_5
 water|103v|Enamels|p103v_5
 gold|104r|For eating away and dissolving entirely pure gold|p104r_1
 common salt|104r|For eating away and dissolving entirely pure gold|p104r_1
 aquafortis|104r|For eating away and dissolving entirely pure gold|p104r_1
 gold|104r|For eating away and dissolving entirely pure gold|p104r_1
 silver|104r|For eating away and dissolving entirely pure gold|p104r_1
 iron|104r|For etching on iron|p104r_2
 verdet|104r|For etching on iron|p104r_2
 coarse salt|104r|For etching on iron|p104r_2
 sublimate|104r|For etching on iron|p104r_2
 massicot|104r|For etching on iron|p104r_2
 linseed oil|104r|For etching on iron|p104r_2
 quite clean & polished iron|104r|For etching on iron|p104r_2
 water|104r|For etching on iron|p104r_2
 verdet|104r|For etching on iron|p104r_2
 coarse salt|104r|For etching on iron|p104r_2
 sal ammoniac|104r|For etching on iron|p104r_2
 sublimate|104r|For etching on iron|p104r_2
 water|104r|For etching on iron|p104r_2
 Sulfur|104r|Good mixture to color gold|p104r_3
 gravel|104r|Good mixture to color gold|p104r_3
 salt|104r|Good mixture to color gold|p104r_3
 terra merita|104r|Good mixture to color gold|p104r_3
 sulfur|104r|Good mixture to color gold|p104r_3
 silver|104r|For gilding with silver on copper and latten|p104r_4
 copper|104r|For gilding with silver on copper and latten|p104r_4
 latten|104r|For gilding with silver on copper and latten|p104r_4
 silver|104r|For gilding with silver on copper and latten|p104r_4
 gold|104r|For gilding with silver on copper and latten|p104r_4
 gild|104r|For gilding with silver on copper and latten|p104r_4
 silver|104r|For gilding with silver on copper and latten|p104r_4
 walnut oil|104r|For gilding with silver on copper and latten|p104r_4
 gentle boutteure|104r|For gilding with silver on copper and latten|p104r_4
 Enameling|104r|Enameling a cornaline|p104r_5
 cornaline|104r|Enameling a cornaline|p104r_5
 wheat flower|104r|Enameling a cornaline|p104r_5
 white wine|104r|Enameling a cornaline|p104r_5
 cornaline|104r|Enameling a cornaline|p104r_5
 white wine|104r|Enameling a cornaline|p104r_5
 stavesacre|104v|Against dogs' mange|p104v_1
 egg oil whites|104v|Against dogs' mange|p104v_1
 oil|104v|Against dogs' mange|p104v_1
 oil|104v|Against dogs' mange|p104v_1
 wax|104v|For casting|p104v_2
 melted wax|104v|For casting|p104v_2
 wax|104v|For casting|p104v_2
 hot water|104v|For casting|p104v_2
 wax|104v|For casting|p104v_2
 very soft clay|104v|For casting|p104v_2
 lead|104v|For casting|p104v_2
 tin|104v|For casting|p104v_2
 scales of pure silver & of gilt silver|104v|Goldsmith|p104v_3
 quills|104v|Spinet playing by itself|p104v_4
 Soot black|105r|Drying colors|p105r_2
 oil|105r|Drying colors|p105r_2
 verdigris|105r|Drying colors|p105r_2
 wood|105r|Painter|p105r_3
 canvas|105r|Painter|p105r_3
 slip of linen|105r|Gardening|p105r_4
 very soft thread|105r|Gardening|p105r_4
 reheated plaster|105v|Fountain maker|p105v_2
 water|105v|Fountain maker|p105v_2
 stucco|105v|Fountain maker|p105v_2
 iron|105v|Nightingale|p105v_4
 wooden|105v|Nightingale|p105v_4
 ants with soil|105v|Nightingale|p105v_5
 chopped sheep's heart|105v|Nightingale|p105v_5
 eggs|105v|Nightingale|p105v_5
 mealworms|105v|Nightingale|p105v_5
 Asphaltum is, which is found in Germany|106r|For casting|p106r_1
 most excellent sand one can find for molding in a frame|106r|For casting|p106r_1
 silver|106r|For casting|p106r_1
 gold|106r|For casting|p106r_1
 gold|106r|Making gold run for casting|p106r_2
 gold|106r|Making gold run for casting|p106r_2
 Sublimate|106r|Making gold run for casting|p106r_2
 smoke|106r|Making gold run for casting|p106r_2
 sal ammoniac|106r|Making gold run for casting|p106r_2
 verdet|106r|Making gold run for casting|p106r_2
 borax|106r|Making gold run for casting|p106r_2
 saltpeter|106r|Making gold run for casting|p106r_2
 Saltpeter|106r|Making gold run for casting|p106r_2
 verdet|106r|Making gold run for casting|p106r_2
 gold|106r|Making gold run for casting|p106r_2
 lead|106r|Making gold run for casting|p106r_2
 fine gold|106r|Making gold run for casting|p106r_2
 sand for molding flowers & leaves & delicate things|106r|Making gold run for casting|p106r_2
 well-ground raw plaster|106r|Making gold run for casting|p106r_2
 brick|106r|Making gold run for casting|p106r_2
 alum de plume|106r|Making gold run for casting|p106r_2
 sands|106r|Making gold run for casting|p106r_2
 eau-de-vie|106r|Making gold run for casting|p106r_2
 sand|106r|Making gold run for casting|p106r_2
 Sal ammoniac water|106r|Making gold run for casting|p106r_2
 sands|106r|Making gold run for casting|p106r_2
 water|106r|Making gold run for casting|p106r_2
 sal ammoniac|106r|Making gold run for casting|p106r_2
 iron|106r|Making gold run for casting|p106r_2
 crocum ferri|106r|Making gold run for casting|p106r_2
 gold|106r|Making gold run for casting|p106r_2
 Plaster of Paris|106r|Making gold run for casting|p106r_2
 stone|106r|Making gold run for casting|p106r_2
 sand|106r|Making gold run for casting|p106r_2
 sugar|106r|Making gold run for casting|p106r_2
 sand|106r|Making gold run for casting|p106r_2
 gold|106r|Making gold run for casting|p106r_2
 gold|106r|Making gold run for casting|p106r_2
 lead|106r|Making gold run for casting|p106r_2
 gold|106v|Casting in gold|p106v_1
 gold|106v|Casting in gold|p106v_1
 crocum ferri|106v|Casting in gold|p106v_1
 alum de plume|106v|Casting in gold|p106v_1
 alum de plume|106v|Casting in gold|p106v_1
 iron|106v|Casting in gold|p106v_1
 shell of crabs & crayfish|106v|Casting in gold|p106v_1
 Tiles|106v|Casting in gold|p106v_1
 Tiles|106v|Casting in gold|p106v_1
 stones|106v|Casting in gold|p106v_1
 gravel|106v|Casting in gold|p106v_1
 sand|106v|Casting in gold|p106v_1
 plaster|106v|Casting in gold|p106v_1
 dust|106v|Casting in gold|p106v_1
 plaster|106v|Casting in gold|p106v_1
 stone|106v|Casting in gold|p106v_1
 water|106v|Casting in gold|p106v_1
 brick|106v|Casting in gold|p106v_1
 alum de plume|106v|Casting in gold|p106v_1
 clay|106v|Casting in gold|p106v_1
 plaster|106v|Casting in gold|p106v_1
 Alum de plume|106v|Casting in gold|p106v_1
 sand|106v|Casting in gold|p106v_1
 Crocum ferri|106v|Casting in gold|p106v_1
 gold|106v|Casting in gold|p106v_1
 sand|106v|Casting in gold|p106v_1
 Plaster|106v|Casting in gold|p106v_1
 stone|106v|Casting in gold|p106v_1
 filth|106v|Casting in gold|p106v_1
 Plaster|106v|Casting in gold|p106v_1
 plaster|106v|Casting in gold|p106v_1
 charcoal|106v|Casting in gold|p106v_1
 sand|107r||p106v_1
 sands|107r||p106v_1
 woollen|107r|Catching lizards and snakes|p107r_1
 linen|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 plaster pulverized & reheated|107r|Catching lizards and snakes|p107r_1
 tile|107r|Catching lizards and snakes|p107r_1
 alum de plume|107r|Catching lizards and snakes|p107r_1
 brick|107r|Catching lizards and snakes|p107r_1
 plaster|107r|Catching lizards and snakes|p107r_1
 brick|107r|Catching lizards and snakes|p107r_1
 alum de plume|107r|Catching lizards and snakes|p107r_1
 alum de plume|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 metals|107r|Catching lizards and snakes|p107r_1
 gold|107r|Catching lizards and snakes|p107r_1
 alum de plume|107r|Catching lizards and snakes|p107r_1
 crocum ferri|107r|Catching lizards and snakes|p107r_1
 gold|107r|Catching lizards and snakes|p107r_1
 sand|107r|Catching lizards and snakes|p107r_1
 Alum de plume|107r|Catching lizards and snakes|p107r_1
 marble|107r|Catching lizards and snakes|p107r_1
 the one, white, que v in powder, that apothecaries sell|107r|Catching lizards and snakes|p107r_1
 Crocum ferri|107r|Catching lizards and snakes|p107r_1
 water|107v||p107v_1
 Good alum de plume|107v||p107v_1
 white c silk|107v||p107v_1
 down|107v||p107v_1
 stone|107v||p107v_1
 alum de plume|107v||p107v_1
 sand|107v||p107v_1
 marble|107v||p107v_1
 sand|107v||p107v_1
 tondure|107v||p107v_1
 founder’s earth of the founders of great works|107v||p107v_1
 tondure|107v||p107v_1
 cloth waste|107v||p107v_1
 alum de plume|107v||p107v_1
 liquid sand|107v||p107v_1
 fat earth|107v||p107v_1
 animal|107v||p107v_1
 lucerta|107v||p107v_1
 vini spiritum|107v||p107v_1
 distilled vinegar|107v||p107v_1
 plaster|107v||p107v_1
 alum de plume|107v||p107v_1
 sand|107v||p107v_1
 brick|107v||p107v_1
 wire of the same metal|108r||p108r_1
 iron wire|108r||p108r_1
 gold|108r||p108r_1
 silver|108r||p108r_1
 Eau-de-vie|108r||p108r_1
 sand|108r||p108r_1
 common silver|108r||p108r_1
 solder|108r||p108r_1
 Spalt|108r||p108r_1
 whitish stone|108r||p108r_1
 the most excellent sand that can be found for lead|108r||p108r_1
 lead|108r||p108r_1
 tin|108r||p108r_1
 copper|108r||p108r_1
 silver|108r||p108r_1
 gold|108r||p108r_1
 plaster|108r||p108r_1
 greasy leather|108r||p108r_1
 melted copper and latten|108r||p108r_1
 filth|108r||p108r_1
 Spalt|108r|Spalt|p108r_2
 Spalt|108r|Spalt|p108r_2
 cooked plaster|108r|Spalt|p108r_2
 stones|108r|Spalt|p108r_2
 chalk from Champagne|108r|Spalt|p108r_2
 sal ammoniac water|108r|Spalt|p108r_2
 water|108r|Spalt|p108r_2
 b small stones|108v||p108r_2
 impurities|108v||p108r_2
 sal ammoniac water|108v||p108r_2
 muddy & clean water|108v||p108r_2
 water|108v||p108r_2
 muddy water|108v||p108r_2
 water|108v||p108r_2
 water|108v||p108r_2
 water|108v||p108r_2
 sand|108v||p108r_2
 metals|108v||p108r_2
 gold|108v||p108r_2
 silver|108v||p108r_2
 lead|108v||p108r_2
 tin|108v||p108r_2
 gold|108v||p108r_2
 Alum de plume|108v||p108r_2
 tile|108v||p108r_2
 impurities|108v||p108r_2
 bricks|108v||p108r_2
 alum de plume|108v||p108r_2
 marble|108v||p108r_2
 sand|108v||p108r_2
 marble|108v||p108r_2
 Clay|108v||p108r_2
 water|108v||p108r_2
 water|108v||p108r_2
 wax|109r|Modelling in wax|p109r_1
 wax|109r|Modelling in wax|p109r_1
 turpentine|109r|Modelling in wax|p109r_1
 butter|109r|Modelling in wax|p109r_1
 wax|109r|Modelling in wax|p109r_1
 tallow|109r|Modelling in wax|p109r_1
 box wood|109r|Modelling in wax|p109r_1
 bone of hart|109r|Modelling in wax|p109r_1
 Wax|109r|Wax for molding -|p109r_2
 wax|109r|Wax for molding -|p109r_2
 sulfur|109r|Wax for molding -|p109r_2
 melted wax|109r|Wax for molding -|p109r_2
 sulfur|109r|Wax for molding -|p109r_2
 wax|109r|Wax for molding -|p109r_2
 butter|109r|Wax for molding -|p109r_2
 wax|109r|Molding wax|p109r_3
 wax|109r|Molding wax|p109r_3
 oil|109r|Molding wax|p109r_3
 sand|109r|Molding wax|p109r_3
 lukewarm water|109r|Molding wax|p109r_3
 cold water|109r|Molding wax|p109r_3
 oil|109r|Molding wax|p109r_3
 oil|109r|Molding wax|p109r_3
 eau-de-vie|109r|Molding wax|p109r_3
 sand|109r|Molding wax|p109r_3
 lukewarm water|109r|Molding wax|p109r_3
 oil|109r|Molding wax|p109r_3
 bran|109r|Snakes for molding|p109r_5
 earth|109r|Snakes for molding|p109r_5
 glass|109r|Snakes for molding|p109r_5
 piss|109v|Toad|p109v_1
 earth|109v|Toad|p109v_1
 magnet|109v|Toad|p109v_1
 good vinegar|109v|Toad|p109v_1
 cotton|109v|Toad|p109v_1
 cotton|109v|Toad|p109v_1
 melted wax|109v|Toad|p109v_1
 aquafortis|109v|Killing snakes for molding|p109v_2
 good vinegar|109v|Killing snakes for molding|p109v_2
 eau-de-vie|109v|Killing snakes for molding|p109v_2
 earth|109v|Killing snakes for molding|p109v_2
 archal wire|109v|Killing snakes for molding|p109v_2
 Rock|110r|Rock & grotto|p110r_2
 white & yellow marcasites|110r|Rock & grotto|p110r_2
 minerals|110r|Rock & grotto|p110r_2
 mineral|110r|Rock & grotto|p110r_2
 rock|110r|Rock & grotto|p110r_2
 colle forte|110r|Rock & grotto|p110r_2
 water|110r|Rock & grotto|p110r_2
 filth|110r|Snakes|p110r_3
 earth|110r|Snakes|p110r_3
 fresh & damp earth|110r|Snakes|p110r_3
 olive oil|110v|Molds|p110v_1
 cold water|110v|Molds|p110v_1
 oil|110v|Molds|p110v_1
 cold water|110v|Molds|p110v_1
 hot water|110v|Molds|p110v_1
