folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
100r,100r,p100r_5,glass process;practical optics,Windows that the sun will not pass,,hands,,,sun;humid air or place;sun,calcined saltpeter;saltpeter;alkali salt,,,,,,,,,glowing charcoals,,,,,,,,
100v,100v,p100v_1,stones,Gemstones,,,,,rivers;sand bank;paths,"Gemstones;white pebbles that are found by the rivers & among the sand bank & paths, which are somewhat transparent;water;vinegar;copper;copper;copper;pebbles;good minium, not adulterated by brick;bronze;sel de verre;sandiver;alkali salt;emeralds;sand;bronze;copper;salt;pebbles;minium;Emerald;salts;minium",,℥;℥;℥;gros;℥;hour & a half;gros;℥;℥;℥,,,,,common people;glassmakers;apothecaries;common people,,four à vent;pestle;totally pure copper mortar;pestle of pure copper;bronze mortar;bronze mortar;kettle of pure copper;crucibles;fornaise;four à vent,hour & a half,,,,,,,
100v,100v,p100v_2,stones,For ruby take gold leaf,,,,,,ruby;gold leaf;rubies;emeralds;white calcined pebbles;glass;gold leaf;gild;gold;pebbles;saltpeter;gold;minium;vitrified minium;gold;gold;antimony,,by two tiles;℥;grain;weight of a grain;℥;day;grains of gold,,peach tree,,,painters,,furnace;tiles;mortar of glass;pestle;pestle;crucible;tile;grate;furnace;thick rounded squares;furnace;charcoal;charcoal;furnace;charcoal;furnace;tiles,day,,,,,,crucible,
101r,101r,p101r_1,stones,Topaz,,,,,,Topaz;gemstones;calcined pebbles;minium;copper;emerald;iron;topaz;amber;emerald;topaz;ruby;gold leaf;pumice stone;firestone;ruby;enamels;pebbles;colored glass;enamels;iron;Slightly burnt tartar;arene,,dose;one weight of calcined pebbles on three of minium;hour & a half,,,,,,,pestling;copper mortar;iron mortar;pestles;mortars;pestle;iron mortar,hour & a half,,,,,,,
101r,101r,p101r_2,metal process;casting,Salt for melting,,,,,,Salt;saltpeter;common salt;melted copper;common salt;marble;saltpeter;metal;marble;alabaster;marble,,as much,,,,,,,four à vent;marble;crucible;crucible;marble,,,,,,,crucible;crucible,
101v,101v,p101v_1,stones,Jacinth,,,,,,Jacinth;ruby;gold;ruby;rubified antimony;jacinth,,day,,,,,,,crucibles,day,,,,,,,
101v,101v,p101v_2,stones,Topaz,,,,,,"Topaz;pumice stone, calcined & pulverized, <-& tr-> with three parts of minium;minium;stone pulverized;steel;pumice;glass;minium;firestone",,"one part of pumice stone, calcined & pulverized, <-& tr-> with three parts of minium",,,,,,,steel <-ver f-> mortar;glass mortar,,,,,,,,
101v,101v,p101v_3,varnish,Varnish,,,,,,Varnish;minium;linseed oil;varnish;thoroughly pulverized yellow amber,,,,linseed,Germans,,,,,,,,,,,,
101v,101v,p101v_4,painting,Gum ammoniac,,,,,,Gum ammoniac;vinegar;medicinal gums;vinegar,medicinal gums,,,,,,,,cloth strainer,,,,,,,,
102r,102r,p102r_1,metal process,Provisions for the work of Colchis,,,,,,☿;coarse salt;lead;unleaded;vinegar;good vinegar;cotton,,lb;pots;lb,,,,,,,retorts;terrines without lead;unleaded pots;alembics;pots;lamps;scissors,,,,,,,,
102r,102r,p102r_2,metal process,For the furnace,,thumbs;foot,,,,stone;earthenware;fer blanc;smoke;Rapeseed oil,,square thumbs;foot,,Rapeseed,,,,,furnace;coffer;boxes; pots with a lid;pipes of fer blanc;furnace;lamps;furnace;fire-steel,,,,,,,,
102r,102r,p102r_3,metal process,Ciment royal,,,,,,Ciment royal;vitriol;saltpeter;rock alum,,lb & a half,,,,,,,,,,,,,,,
102r,102r,p102r_4,glass process,Glass vessels,,fingers,,,,Glass;glass,,small knife back;Dutch quill;fingers’ width,,,Dutch,,,,Glass vessels;glass vessel;knife;vials;Dutch quill,,,,,,,,
102v,102v,p102v_1,painting;glass process,Painting on crystal or glass,dragon,,,,,"crystal;glass;oil;azur d’Acre;lake;dragon’s blood;foil backing for topaz, or one of gold or silver;topaz;gold;silver",,,,,Acre,,,,,,,,,,,,
102v,102v,p102v_2,medicine,Infusion of anthos or rosemary,,,,,in the shade;in the sun,anthos;rosemary;oil;first substance of wine;substance of wine;water;white wine,for the elderly,day;days;infusions;infusion;for a month;℥;spoonfuls,,anthos;rosemary,,Paul III,elderly,,bottle;vessel;alembic;spoonfuls,In the month of August;day;days;for a month,,,,,,,
102v,102v,p102v_3,casting,Cast,,,,,,Tin;tin;solder,,,,,,,,,,,,,,,,,
103r,103r,p103r_1,medicine,"Against burns, excellent",,flesh;face;hair,,,,linseed oil;newest wax;new wooden;holy water;first water;new water;soft & white ointment;water;wine;ointment;ivy leaves,"Against burns;do not apply it any longer than this, for it would cause <-a-> your flesh to grow excessively;causes hair to regrow;leaves no scar",quarter;paternoster;paternoster;for the time it takes you to say 8 paternoster;paternoster;for the space of 9 days;twice a day,,linseed;ivy,,,gunpowder maker,,new wooden spatula;wet linen cloth;fine linen cloth,for the time it takes you to say 8 paternoster;for the space of 9 days;twice a day,,,,,,,
103r,103r,p103r_2,medicine,Against dogs’ mange,dogs;ogs;dogs,,,,,pitch;water;water;water of sublimate,Against dogs’ mange,,,,English,,grooms,,,,,,,,,pitch,
103v,103v,p103v_1,medicine,Enema,chicken,veins,,,,chicken gut,Enema;protruding or swollen hemorrhoidal veins;enema,,,,,,,,tube,,,,,,,,
103v,103v,p103v_2,casting,Cast,,,teston,,,Tin;solder;taffeta;fine sand,,thickness of a teston,,,,,,,,,,,,,,,
103v,103v,p103v_3,painting,For making colors run,,,,,,vinegar;bile;glass;salt,,,,,,,,,glass bottle,long time,,,,,,,
103v,103v,p103v_4,medicine,Earwax,,Earwax;ear;foam of urine;headache,,,,Earwax;foam of urine;foam,headache,,,,,,,,ear picker,,,,,,,,
103v,103v,p103v_5,painting;practical optics,Enamels,,,,,sunlight,Enamels;crystal;glass;water,,,,,,,,,candlelight;candle;crystal mirror;glass globe or jar,,,,,,,,
104r,104r,p104r_1,metal process,For eating away and dissolving entirely pure gold,,,,,,gold;common salt;aquafortis;gold;silver,,hours,,,,,,,matrass,hours,,,,,,,
104r,104r,p104r_2,metal process,For engraving on iron,,,liard,,in the fire;in the sun,iron;verdet;coarse salt;sublimate;massicot;linseed oil;quite clean & polished blade or  iron;water;verdet;coarse salt;sal ammoniac;sublimate;water,,℥;℥;liard’s worth;twice as much;grains;grains,,linseed,,,,,,,,,,,,,
104r,104r,p104r_3,painting;metal process,Good mixture to color gold,,,,,,Sulfur;gravel;salt;terra merita;sulfur,,as much of one as of the other;third part,,,,,,,,,,,,,,,
104r,104r,p104r_4,metal process,For gilding with silver on copper and latten,,,,,,silver;copper;latten;silver;gold;gild;silver;walnut oil;sweet boutteure,,,,walnut,,,,,,,,,,,,,
104r,104r,p104r_5,painting;stones,Enameling a cornaline,,,,,,Enameling;cornaline;wheat flower;white wine;cornaline;white wine,,hours,,wheat,,,,,,hours,,,,,,,
104v,104v,p104v_1,medicine,Against dogs’ mange,dogs’;common dogs,,,,,stavesacre;egg <-of oil-> whites;oil;oil,Against dogs’ mange,Half an ℥;℥;quarteron,,,,,,,,at night,,,,,,,
104v,104v,p104v_2,casting,For casting,,,,,,wax;melted wax;wax;hot water;wax;very soft clay;lead;tin,,,,,,,,,mold,,,,,,,,
104v,104v,p104v_3,metal process,Goldsmith,,,,,,scales of pure silver & of gilt silver,,,,,,,Goldsmith;archers,,,,,,,,,,
104v,104v,p104v_4,household and daily life;tricks and sleight of hand,Spinet playing by itself,,,,,,quills,,,Spinet;cittern;spinet,,,,,,clock,,,,,,,,
105r,105r,p105r_1,animal husbandry,Turtles,Turtles,,,,,,,,,,,,,,,,,,,,,,
105r,105r,p105r_2,painting,Drying colors,,,,,,Soot black;oil;verdigris,,,,,,,,,,,,,,,,,
105r,105r,p105r_3,painting,Painter,,,,,,wood;canvas,,,,,,,Painter,,,,,,,,,,
105r,105r,p105r_4,cultivation,Gardening,,fingers,,,,slip of linen;very soft thread,,days;days;fingers;from mid-May;until the beginning of August;in the month of January,,linen;Almond trees;mericotons;apricots;mericoton peaches,,,,,very sharp penknife;penknife;slip of linen;very soft thread,in that year;days;days;from mid-May;until the beginning of August;in the month of January,,,,,,,
105v,105v,p105v_1,cultivation,Gardening,worms,,,,garden,,,,,oraches,,,,,,,,,,,,oraches,
105v,105v,p105v_2,tool,Fountain maker,,,,,,reheated plaster;water;stucco,,,,,,,Fountain maker;molder,,,,,,,,,,
105v,105v,p105v_3,animal husbandry,Catching nightingales  See the 15th folio after this,nightingales;nightingale;worms;worms;worms,,,,"coolness of the evening and the morning, near fountains & shaded places",,,paces,,,,,,,kneading troughs;mills;hat;pin;device of little crossed sticks,season of their pleasure;the evening and the morning,,,,,,,
105v,105v,p105v_4,animal husbandry,Nightingale,Nightingale,hand,,,,iron;wooden,,day,,,,,,,canvas;small wooden pin,day,,,,,,,
105v,105v,p105v_5,animal husbandry,Nightingale,Nightingale;calendras;ants;sheep;mealworms,,,,barn;cold,ants with soil;chopped sheep’s heart;eggs;mealworms,,,,,,,,,green cloth;cage;cage,,,,,,,,
106r,106r,p106r_1,casting,For casting,,,,,,Aspalte <-is-> which is found in Germany;most excellent sand one can find for molding in a frame;silver;gold,,,,,Germany,,,,frame,,,,,,,,
106r,106r,p106r_2,casting,Making gold run for casting,snakes;lizards,,,,,gold;gold;Sublimate;smoke;sal ammoniac;verdet;borax;saltpeter;Saltpeter;verdet;gold;lead;fine gold;sand for molding flowers & leaves & delicate things;ground raw plaster;brick;feather alum;sands;eau-de-vie;sand;Sal ammoniac water;sands;water;sal ammoniac;iron;crocum ferri;gold;Plaster of Paris;stone;sand;sugar;sand;gold;gold;lead,,,,,Paris,,,,frames;hammer,long time,,,,,crocum ferri,,
106v,106v,p106v_1,casting,Casting in gold,crabs;crayfish;Rats;birds,,,,,gold;gold;crocum ferri;feather alum;feather alum;iron;shell of crabs & crayfish,,,,,,,,,mold;iron presses;mold,,,,,,crocum ferri,,
106v,106v,p106v_2,casting,Plaster,,nail;finger,,,in a dry place;rainy weather,Plaster;stone;filth;Plaster;plaster;charcoal;plaster;dust;plaster;stone;water;brick;feather alum;clay;plaster;Feather alum;sand;Crocum ferri;gold;sand;sand;sands,avoid the vapor,months;good amount;finger,,,,,,,nail;Pestle;sieve;sleeve;cauldron;skillet;cauldron;stick;cauldron;cauldron,months;rainy weather,,,,,Crocum ferri,,
106v,106v,p106v_3,casting,Tiles,turtles,,,,houses;houses,Tiles;not sandy;Tiles;stones;gravel;sand,,hours,,,,,,,pestle;sieve,hours,,,,,,,
107r,107r,p107r_1,casting,Catching lizards and snakes,lizards;snakes;lizard;lizard;snake;Snakes;snake;crayfish;animal;lucerta;snake,hand;hand;finger,,,in water,"woollen;linen;sand;plaster, pulverized & reheated;tile;feather alum;brick;plaster;brick;feather alum;feather alum;sand;sand;sand;sand;metals;gold;feather alum;crocum ferri;gold;sand;Feather alum;marble;the white one <-that v-> in powder that apothecaries sell;Crocum ferri;water;Good feather alum;white <-c-> silk;down;stone;feather alum;sand;marble;sand;cloth shearings;founder’s earth of the founders of great works;cloth shearings;cloth waste;feather alum;liquid sand;fatty earth;animal;lucerta;vini spiritum;distilled vinegar;plaster;feather alum;sand;brick;wire of the same metal;iron wire;gold;silver;Eau-de-vie;sand;common silver;solder;Spat;whitish stone;the most excellent sand that can be found for lead;lead;tin;copper;silver;gold;plaster;greasy leather;molten copper and latten;filth",,parts;part;half;crucibles;days;finger,,wormwood;vini,France;Rouan;Germany;Augsburg,,crayfish catchers;apothecaries;glassmaker’s;founders of great works;apothecaries;goldsmiths,,stick;string;hand;pincers;hand;woollen cloth;cloth;crucibles;pestle;sieve;marble;mortar;pestling;pestle;glassmaker’s fournaise;Molds;pestled;mortar;marble;sieve;molds;molds;mold;wire of the same metal that they cast;iron wire;chisel;mold;mold;frame,days,,Spat,,,"crocum ferri;Crocum ferri;Archanum omnibus fere reconditum est in re fusoria,  <-ut->v{idelicet} res exprimenda formis, sive herba sit sive animal      ut lucerta, <-in-> <-af-> <-inting-> inmergatur primum in vini spiritum  aprime rectificatum, deinde pulvere composito aspergatur  sive illinatur (si pulvis in formam pultis redactus sit, ut  assolet).",,
108r,108r,p108r_2,casting,Spalt,,fingernail;throat;face,,,earth;quarry,Spalt;Spalt;cooked plaster;stones;chalk from Champagne;sal ammoniac water;water;small stones;sal ammoniac water;muddy & clean water;water;muddy water;water;water;water;sand;metals;gold;silver;lead;tin;gold;Feather alum;tile;impurity;feather alum;bricks;feather alum;marble;sand;marble;Clay;water;water,,size of a walnut;quarter of an hour,,walnut,Champagne,,those who make pots;goldsmith,reason to scratch yourself well;soft to the touch,fingernail;bottle;pot;earthen vessel;fornaise of those who make pots;pots;pots;vessel;sponge;frame;cauldron;crucible;tile;charcoals;goldsmith’s forge;surrounded with bricks;fourneau à vent;crucible;pestle;mortar;marble;Pestle;mortar;pestle;mortar;mortar;pestle;marble;mortar;molds;molds;pit;terrine;stick,long enough;quarter of an hour,,Spalt;Spalt,,,,,
109r,109r,p109r_1,casting;wax process,Modeling in wax,hart,mouth,,,,wax;wax;turpentine;butter;wax;tallow;boxwood;bone of hart,,,,boxwood,Italians,,,,tools,,,,,,,,
109r,109r,p109r_2,casting;wax process,Wax for molding -,,,,,,Wax;wax;sulfur;melted wax;sulfur;wax;butter,,,,,,,,,spoon;crucible;mold,,,,,,,crucible,
109r,109r,p109r_3,casting;wax process,Molding wax,,,,,,wax;wax;oil;sand;lukewarm water;cold water;oil;oil;eau-de-vie;sand;lukewarm water;oil,,,,,,,,,mold,,,,,,,,
109r,109r,p109r_4,casting;tool,Bellows of the forge,,fingers,,,,,,fingers,,,,,,,Bellows;forge;blast-pipes;forge,,,,,,,,
109r,109r,p109r_5,casting,Snakes for molding,Snakes;frog;frog;frog,,,,in a cool place,bran;earth;glass,,days;hours,,,,Satan,disciples,,barrel;glass bottle,days;hours,,,,,,,
109v,109v,p109v_1,casting;medicine,Toad,Toad;frog,hand;hand;hand,,,into fresh earth,cotton;cotton;melted wax;piss;earth;magnet;good vinegar,remedy,,,nettles,,,,,twisted cord of the saw,,,,,,,,
109v,109v,p109v_2,casting,Killing snakes for molding,snakes;lizards,,,,in a garden outdoors,aquafortis;good vinegar;eau-de-vie;earth;archal wire,,drop,,,,,,,needle;mold;bottle;pipe;pipe;archal wire,,,,,,,,
110r,110r,p110r_1,casting,Molding,,,,,,,,,,,,,,,Molding;mold;molds,,,,,,,,
110r,110r,p110r_2,decorative,Rock & grotto,,,,,grotto;grotto,Rock;white & yellow marcasites;minerals;mineral;rock;strong glue;water,,,,,,,,,pestle,,,,,,,,
110r,110r,p110r_3,casting,Snakes,Snakes;snakes;toad,foot;fingers;hand;underfoot,,,earth;fresh & humid earth,filth;earth;fresh & humid earth,infected part,fingers;quarter of an hour,,,,,the one who taught me to mold them,,foot;mold;knife;Molding;mold;underfoot,quarter of an hour,,,,,,,
110v,110v,p110v_1,casting,Molds,,,,,,olive oil;cold water;oil;cold water;hot water;water,,,,olive,,,,,Molds;Molds,,,,,,,,
110v,110v,p110v_2,casting,Wheat oil,butterfly,,,,,Wheat oil;iron;oil;oil;sand;butter;wheat oil,,,,Wheat;pansy;wheat,,,,,blade of iron reddened in the fire,,,,,,,,
110v,110v,p110v_3,casting,Cast of lead and tin,snakes,,,,,lead;tin;tin;tin;lead;lead;tin;lead;lead;tin;looking-glass tin;rosin;fine and new lead;fine tin;fine tin;fine lead;tin;lead,,fourth part lead for three parts tin;lb;ounces;℥;lb,,,,,,,,,,,,,,,
111r,111r,p111r_1,casting,Reheating molds,,,,,,,,,,,,,,,molds;frames;molds;molds;Noyau molds;frame molds,,,,,,,,
111r,111r,p111r_2,casting,Latten smoke,,,,,,Latten smoke;Latten;latten;yellow filth,,,,,,,,,molds for casting latten;molds,,,,,,,,
111r,111r,p111r_3,casting;metal process,For red copper,,,,,,red copper;fine tin,,,,,,,,,,,,,,,,,
111r,111r,p111r_4,casting,Clay earth,,hands,,,in a humid place,Clay earth;water;lead,,,,,,,,not attach to your hands,molds;hands;blade of lead,,,,,,,,
111r,111r,p111r_5,casting;tool,Iron wire,,,,,,Iron wire;Iron wire is firmer;that of latten,,"thick like cord, smaller [illegible];thin <-p->, like the thick strings of a spinet, for the small works",spinet,,,,,,molds;clamps;molds;Needles,,,,,,,,
111v,111v,p111v_1,casting,Sal ammoniac wate[e]r,,tongue,,,,Sal ammoniac wate[<-e->]r;chestnuts;pulverized sal ammoniac;water;water;salty,,size of two chestnuts;pot,,chestnuts,,,,"to the tongue, you find the water moderately salty",pot;tongue,,,,,,,,
111v,111v,p111v_2,casting,Sanguine,,,,,,Sanguine;lead;tin;sanguine,,,,,,,,,small bristle brushes,,,,,,,,
111v,111v,p111v_3,casting,Crab and crayfish,Crab;crayfish,,,,,,,,,,,,,,,,,,,,,,
111v,111v,p111v_4,casting,Lizards,Lizards;lizards;female lizards;female lizards,fingers;fingernail;nail;flesh,,,,silver;gold;metal,,,,,,,,,fingers;fingernail;nail;pincers,In the spring;summer,,,,,,,
111v,111v,p111v_5,casting,Composition of sand,,hands,,,,sand;plaster;brick;feather alum;alum;plaster;feather alum;sand;water;plaster;pestled tiles;feather alum,,crucibles,,,,,,,crucibles;sieve;hands;molds;molds;pestled,,,,,,,crucibles,
112r,112r,p112r_1,casting,For tempering sand,,,,,,sand;water;common water;lead;sand;wooden;wetted sand;oil;feather,,,,,,,,,basin;molds;flagon;lead bowl;wooden spoon;bowl;basin;large oil paintbrushes;feather quills,,,,,,,,
112r,112r,p112r_2,casting,Decoction of sands,,,,,,sands,,,,,,,,,,,,,,,,,
112r,112r,p112r_3,casting,For molding en noyau. Mixture of sand,,hands,,,,sand;sand;plaster;feather alum;brick;plaster;brick;feather alum;sand;feather alum,,parts,,,,,,,sieve;hands;mortar,,,,,,,,
112r,112r,p112r_4,casting,Putting to death the animal for molding,frogs;Water snakes;lice;lizards,urine;urine,,,Water,glass;bran;fresh & humid earth;good vinegar;urine;vinegar;eau-de-vie;vinegar;eau-de-vie;vinegar;urine;eau-de-vie;filth;wax,,an hour or a half,,,,,,,glass bottle;barrel;clean bottle or vessel;glass,long time;an hour or a half,,,,,,,
112v,112v,p112v_1,casting,Molding Making the arrangement and disposition of the animal,snake;common snake;snake,hands;thumb;thumbs,,,,fatty earth;clay;earth;iron wire;clay;sand;iron wire;steel;iron;iron;earth;earth;rust;iron wire;strings of spinets;iron wire;the one of latten;wax;grain of millet;iron wire;wax;earth;wetted sand;eau-de-vie;eau-de-vie;eau-de-vie;wetted sand;eau-de-vie;earth;clay;eau-de-vie;earth;water;earth;cotton;sand;Eau-de-vie;eau-de-vie,,thumb;as much as a grain of millet;thumbs,spinets;mandore,millet,,,pastry makers,,hands;round  stick which pastry makers;needle;needle;point of an iron wire;point;point;small pincers;point;points of iron wire;needle;points;fine needle of steel;points of iron;point of iron;point;point;points;solid plank or table;point;points;points;needles;point;knife;small curved instrument;mold;paintbrush;mold;point,,,,,,,,cake;cake;cake;cake;cake;cake
113r,113r,p113r_1,casting,Tempering the sand and molding the first cast,,,,,,sand;leaded;earth;tempered sand;common fountain water;sal ammoniac water;egg;lead;tin;gold;silver;water;sand;water;sand;wooden;<-clear-> mustard;wetted sand;wetted sand;sand;clay;cake of earth;eggs;water;sal ammoniac water;pureed broth;starch water;starch;sand;water;water;tempered sand;Sal ammoniac water,,as much sal ammoniac water as can be held in an egg;quarter of an hour;or two eggs,mandore,,,,women,,bowl of leaded earth;mold;bowls of different size which have a lip;bowl;wooden spoon;mold;mold;mold;mold;mold;knife;mold;mold;spoon;spatula;mold;molds,quarter of an hour,,,,,,,cake
113v,113v,p113v_1,casting,Second cast,,,,,,,,,,,,,,,,,,,,,,,
114r,114r,p114r_1,casting,Second cast,lizard;snake;lizard;hog;crabs,,,,,wet sand;hog  bristle;saliva;clear water;water;water;oil;water;oil;oil;oil;water;oil;cittern strings;wax;iron wire;earth;clay;eau-de-vie;eau-de-vie;sand;clay;water;water;eau-de-vie;hot water;water;water;oil;water;water;linen;bread;metal;iron wire,,length of a paternoster;quarter of an hour;day;days;month;day;night,cittern;mandore;mandore,,,,,stink,mold;knife;penknife;mold;tiny hog  bristle brushes;mold;mold;mold;paintbrush;mold;paintbrush;mold;delicate points of <-fil-> [<-of->] <-cist-> cittern strings;small flat pincers;points;point;points;mold;point of a hot iron wire;mold;knife;mold;paintbrush;mold;knife;molds;mold;molds;mold;clamps;molds;molds;mold;mold;mold;mold;molds;rough linen cloth;clamps;chisels;mold;clamps;molds;clamps,length of a paternoster;quarter of an hour;day;day;days;month;day;night,,,,,,,cake;cake
